drug_name,medical_condition,side_effects
Paracetamol,Fever; Pain relief,Nausea; Vomiting; Liver damage (overdose)
Ibuprofen,Pain; Inflammation; Fever,Stomach upset; Dizziness; Heartburn
Aspirin,Pain; Fever; Blood thinning,Stomach irritation; Bleeding; Tinnitus
Amoxicillin,Bacterial infections,Allergic reactions; Diarrhea; Nausea
Omeprazole,Acid reflux; GERD; Ulcers,Headache; Diarrhea; Abdominal pain
Metformin,Type 2 diabetes,Nausea; Diarrhea; Lactic acidosis (rare)
Atenolol,Hypertension; Angina,Fatigue; Cold hands; Bradycardia
Simvastatin,High cholesterol,Muscle pain; Liver problems; Headache
Lisinopril,Hypertension; Heart failure,Dry cough; Hyperkalemia; Angioedema
Albuterol,Asthma; COPD,Tremor; Palpitations; Nervousness
Loratadine,Allergies; Hay fever,Drowsiness; Dry mouth; Headache
Diphenhydramine,Allergies; Insomnia; Motion sickness,Drowsiness; Dry mouth; Constipation
Hydrocortisone,Inflammation; Skin conditions,Skin thinning; Increased infection risk; Mood changes
Fluoxetine,Depression; Anxiety disorders,Nausea; Insomnia; Sexual dysfunction
Sertraline,Depression; Panic disorder,Nausea; Diarrhea; Sexual dysfunction
Warfarin,Blood clots; Atrial fibrillation,Bleeding; Bruising; Hair loss
Digoxin,Heart failure; Atrial fibrillation,Nausea; Visual disturbances; Arrhythmia
Furosemide,Edema; Heart failure,Dehydration; Electrolyte imbalance; Hearing loss
Prednisolone,Inflammation; Autoimmune conditions,Weight gain; Mood changes; Osteoporosis
Cetirizine,Allergies; Urticaria,Drowsiness; Dry mouth; Fatigue
